Augmentation_Ratio,Training_Samples,Model,Accuracy,Precision,Recall,F1,ROC_AUC,Augmentation_Label
200,726,XGBoost,0.9016393442622952,0.84375,0.9642857142857144,0.9,0.9372294372294372,200%
0,242,Random Forest,0.8852459016393442,0.8181818181818182,0.9642857142857144,0.8852459016393442,0.95508658008658,0%
50,363,Random Forest,0.8852459016393442,0.8181818181818182,0.9642857142857144,0.8852459016393442,0.9502164502164504,50%
0,242,XGBoost,0.8852459016393442,0.8181818181818182,0.9642857142857144,0.8852459016393442,0.9491341991341992,0%
75,423,XGBoost,0.8852459016393442,0.8181818181818182,0.9642857142857144,0.8852459016393442,0.9448051948051948,75%
100,484,XGBoost,0.8852459016393442,0.8181818181818182,0.9642857142857144,0.8852459016393442,0.9372294372294372,100%
200,726,Random Forest,0.8852459016393442,0.8181818181818182,0.9642857142857144,0.8852459016393442,0.9372294372294372,200%
150,605,Random Forest,0.8852459016393442,0.8181818181818182,0.9642857142857144,0.8852459016393442,0.9366883116883116,150%
100,484,Random Forest,0.8688524590163934,0.7941176470588235,0.9642857142857144,0.8709677419354839,0.9512987012987012,100%
25,302,Random Forest,0.8688524590163934,0.7941176470588235,0.9642857142857144,0.8709677419354839,0.943181818181818,25%
0,242,Logistic Regression,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9512987012987012,0%
50,363,Logistic Regression,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9426406926406928,50%
75,423,SVM,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9296536796536796,75%
50,363,XGBoost,0.8524590163934426,0.7714285714285715,0.9642857142857144,0.8571428571428571,0.9523809523809524,50%
75,423,Random Forest,0.8524590163934426,0.7714285714285715,0.9642857142857144,0.8571428571428571,0.9464285714285714,75%
25,302,Logistic Regression,0.8524590163934426,0.7878787878787878,0.9285714285714286,0.8524590163934426,0.9448051948051948,25%
150,605,XGBoost,0.8524590163934426,0.7878787878787878,0.9285714285714286,0.8524590163934426,0.9231601731601732,150%
75,423,Logistic Regression,0.8524590163934426,0.8064516129032258,0.8928571428571429,0.847457627118644,0.946969696969697,75%
0,242,SVM,0.8524590163934426,0.8064516129032258,0.8928571428571429,0.847457627118644,0.9437229437229436,0%
200,726,Logistic Regression,0.8524590163934426,0.8064516129032258,0.8928571428571429,0.847457627118644,0.9426406926406928,200%
100,484,SVM,0.8524590163934426,0.8064516129032258,0.8928571428571429,0.847457627118644,0.9285714285714286,100%
25,302,XGBoost,0.8360655737704918,0.75,0.9642857142857144,0.84375,0.9404761904761904,25%
100,484,Logistic Regression,0.8360655737704918,0.78125,0.8928571428571429,0.8333333333333334,0.9404761904761904,100%
150,605,Logistic Regression,0.8360655737704918,0.78125,0.8928571428571429,0.8333333333333334,0.9393939393939394,150%
50,363,SVM,0.8360655737704918,0.78125,0.8928571428571429,0.8333333333333334,0.9274891774891776,50%
25,302,SVM,0.819672131147541,0.7428571428571429,0.9285714285714286,0.8253968253968254,0.9264069264069263,25%
150,605,SVM,0.819672131147541,0.7575757575757576,0.8928571428571429,0.819672131147541,0.9242424242424244,150%
200,726,SVM,0.8032786885245902,0.7352941176470589,0.8928571428571429,0.8064516129032258,0.9274891774891776,200%
