dataset,model,augmentation_ratio,ratio_float,real_train_size,synthetic_train_size,total_train_size,test_size,accuracy,precision,recall,f1_score,roc_auc,brier_score,weighted_score
UCI Heart Disease,Logistic Regression,0%,0.0,242,0,242,61,0.868852,0.8125,0.928571,0.866667,0.951299,0.091845,0.916818
UCI Heart Disease,Random Forest,0%,0.0,242,0,242,61,0.885246,0.83871,0.928571,0.881356,0.949134,0.097714,0.920576
UCI Heart Disease,SVM,0%,0.0,242,0,242,61,0.868852,0.8125,0.928571,0.866667,0.957792,0.120894,0.918766
UCI Heart Disease,XGBoost,0%,0.0,242,0,242,61,0.852459,0.787879,0.928571,0.852459,0.929654,0.111285,0.906062
UCI Heart Disease,Logistic Regression,25%,0.25,242,60,302,61,0.885246,0.83871,0.928571,0.881356,0.954545,0.096117,0.922199
UCI Heart Disease,Random Forest,25%,0.25,242,60,302,61,0.868852,0.833333,0.892857,0.862069,0.942641,0.110162,0.898556
UCI Heart Disease,SVM,25%,0.25,242,60,302,61,0.885246,0.862069,0.892857,0.877193,0.929654,0.094318,0.899197
UCI Heart Disease,XGBoost,25%,0.25,242,60,302,61,0.852459,0.851852,0.821429,0.836364,0.930736,0.102302,0.858701
UCI Heart Disease,Logistic Regression,50%,0.5,242,121,363,61,0.852459,0.806452,0.892857,0.847458,0.95671,0.105359,0.898393
UCI Heart Disease,Random Forest,50%,0.5,242,121,363,61,0.868852,0.833333,0.892857,0.862069,0.948052,0.113043,0.900179
UCI Heart Disease,SVM,50%,0.5,242,121,363,61,0.737705,0.7,0.75,0.724138,0.780303,0.231253,0.751332
UCI Heart Disease,XGBoost,50%,0.5,242,121,363,61,0.836066,0.764706,0.928571,0.83871,0.92316,0.121655,0.89999
UCI Heart Disease,Logistic Regression,75%,0.75,242,181,423,61,0.852459,0.806452,0.892857,0.847458,0.944805,0.111594,0.894822
UCI Heart Disease,Random Forest,75%,0.75,242,181,423,61,0.868852,0.857143,0.857143,0.857143,0.931818,0.123403,0.879545
UCI Heart Disease,SVM,75%,0.75,242,181,423,61,0.770492,0.733333,0.785714,0.758621,0.813853,0.211592,0.786028
UCI Heart Disease,XGBoost,75%,0.75,242,181,423,61,0.803279,0.766667,0.821429,0.793103,0.888528,0.133008,0.833061
UCI Heart Disease,Logistic Regression,100%,1.0,242,242,484,61,0.852459,0.827586,0.857143,0.842105,0.950216,0.115765,0.880554
UCI Heart Disease,Random Forest,100%,1.0,242,242,484,61,0.803279,0.766667,0.821429,0.793103,0.920996,0.134666,0.842801
UCI Heart Disease,SVM,100%,1.0,242,242,484,61,0.852459,0.827586,0.857143,0.842105,0.928571,0.111914,0.87406
UCI Heart Disease,XGBoost,100%,1.0,242,242,484,61,0.770492,0.75,0.75,0.75,0.88961,0.133644,0.791883
UCI Heart Disease,Logistic Regression,150%,1.5,242,363,605,61,0.852459,0.827586,0.857143,0.842105,0.945887,0.125875,0.879255
UCI Heart Disease,Random Forest,150%,1.5,242,363,605,61,0.803279,0.807692,0.75,0.777778,0.924242,0.131665,0.810606
UCI Heart Disease,SVM,150%,1.5,242,363,605,61,0.754098,0.709677,0.785714,0.745763,0.816017,0.172079,0.78282
