model,demographic_dimension,subgroup,n_samples,base_rate_pos,accuracy,precision,recall,f1_score,false_positive_rate,false_negative_rate,selection_rate
Logistic Regression (Baseline 0%),Overall,All Patients,13723,0.4948,0.73,0.7589,0.6658,0.7093,0.2071,0.3342,0.4341
Logistic Regression (Baseline 0%),Sex,Female,9016,0.4935,0.7284,0.7563,0.6633,0.7067,0.2082,0.3367,0.4328
Logistic Regression (Baseline 0%),Sex,Male,4707,0.4973,0.7332,0.764,0.6707,0.7143,0.205,0.3293,0.4366
Logistic Regression (Baseline 0%),Age Group,< 50 yrs,4208,0.3584,0.789,0.8202,0.5265,0.6414,0.0644,0.4735,0.23
Logistic Regression (Baseline 0%),Age Group,50–59 yrs,6957,0.5088,0.7092,0.7384,0.6636,0.699,0.2435,0.3364,0.4572
Logistic Regression (Baseline 0%),Age Group,>= 60 yrs,2558,0.681,0.6896,0.7622,0.791,0.7763,0.527,0.209,0.7068
Logistic Regression (Baseline 0%),Intersectional,Female (< 50 yrs),2621,0.3415,0.7951,0.8003,0.533,0.6398,0.0689,0.467,0.2274
Logistic Regression (Baseline 0%),Intersectional,Female (50–59 yrs),4711,0.5039,0.706,0.7347,0.6521,0.6909,0.2392,0.3479,0.4473
Logistic Regression (Baseline 0%),Intersectional,Female (>= 60 yrs),1684,0.7007,0.6871,0.7723,0.7847,0.7785,0.5417,0.2153,0.712
Logistic Regression (Baseline 0%),Intersectional,Male (< 50 yrs),1587,0.3863,0.7788,0.8522,0.5171,0.6437,0.0565,0.4829,0.2344
Logistic Regression (Baseline 0%),Intersectional,Male (50–59 yrs),2246,0.5191,0.7159,0.7458,0.687,0.7152,0.2528,0.313,0.4782
Logistic Regression (Baseline 0%),Intersectional,Male (>= 60 yrs),874,0.643,0.6945,0.7422,0.8043,0.772,0.5032,0.1957,0.6968
Logistic Regression (Augmented 200%),Overall,All Patients,13723,0.4948,0.721,0.7094,0.7387,0.7238,0.2964,0.2613,0.5153
Logistic Regression (Augmented 200%),Sex,Female,9016,0.4935,0.7254,0.7253,0.7139,0.7195,0.2634,0.2861,0.4857
Logistic Regression (Augmented 200%),Sex,Male,4707,0.4973,0.7126,0.6835,0.786,0.7312,0.3601,0.214,0.5719
Logistic Regression (Augmented 200%),Age Group,< 50 yrs,4208,0.3584,0.7942,0.7593,0.6233,0.6846,0.1104,0.3767,0.2942
Logistic Regression (Augmented 200%),Age Group,50–59 yrs,6957,0.5088,0.6866,0.6779,0.7319,0.7039,0.3603,0.2681,0.5494
Logistic Regression (Augmented 200%),Age Group,>= 60 yrs,2558,0.681,0.6939,0.7384,0.8525,0.7914,0.6446,0.1475,0.7862
Logistic Regression (Augmented 200%),Intersectional,Female (< 50 yrs),2621,0.3415,0.8001,0.7609,0.6045,0.6737,0.0985,0.3955,0.2713
Logistic Regression (Augmented 200%),Intersectional,Female (50–59 yrs),4711,0.5039,0.6928,0.6935,0.6997,0.6966,0.3141,0.3003,0.5084
Logistic Regression (Augmented 200%),Intersectional,Female (>= 60 yrs),1684,0.7007,0.7001,0.7651,0.8254,0.7941,0.5933,0.1746,0.7559
Logistic Regression (Augmented 200%),Intersectional,Male (< 50 yrs),1587,0.3863,0.7845,0.7571,0.6509,0.7,0.1314,0.3491,0.3321
