model,augmentation_ratio,ratio_float,real_train_size,synthetic_train_size,total_train_size,accuracy,precision,recall,f1_score,roc_auc,specificity,brier_score,weighted_score
Logistic Regression,0%,0.0,54889,0,54889,0.730015,0.758939,0.665832,0.709343,0.795913,0.792875,0.185307,0.71791
Random Forest,0%,0.0,54889,0,54889,0.737302,0.766706,0.674227,0.717499,0.804748,0.799077,0.179355,0.726365
SVM,0%,0.0,54889,0,54889,0.728777,0.742798,0.691163,0.716051,0.790736,0.765614,0.186474,0.728502
XGBoost,0%,0.0,54889,0,54889,0.737958,0.762061,0.683947,0.720894,0.805344,0.790855,0.178822,0.73145
Logistic Regression,25%,0.25,54889,13722,68611,0.725497,0.76485,0.642857,0.698568,0.792293,0.806433,0.187669,0.704401
Random Forest,25%,0.25,54889,13722,68611,0.735189,0.764322,0.672018,0.715204,0.802519,0.797058,0.180577,0.724124
SVM,25%,0.25,54889,13722,68611,0.722655,0.752539,0.654786,0.700268,0.788962,0.789124,0.188024,0.708683
XGBoost,25%,0.25,54889,13722,68611,0.734533,0.761857,0.674227,0.715368,0.804697,0.793596,0.179564,0.72571
Logistic Regression,50%,0.5,54889,27444,82333,0.719741,0.767636,0.621797,0.687063,0.787794,0.815664,0.190217,0.691176
Random Forest,50%,0.5,54889,27444,82333,0.732493,0.764009,0.664654,0.710877,0.799175,0.798933,0.18246,0.718877
SVM,50%,0.5,54889,27444,82333,0.71034,0.753375,0.616348,0.678007,0.781377,0.802394,0.192809,0.684354
XGBoost,50%,0.5,54889,27444,82333,0.733149,0.75894,0.67511,0.714575,0.801428,0.78999,0.18123,0.724845
Logistic Regression,75%,0.75,54889,41166,96055,0.715441,0.768973,0.607364,0.67868,0.784164,0.821289,0.192418,0.681799
Random Forest,75%,0.75,54889,41166,96055,0.728558,0.762729,0.655228,0.704904,0.796911,0.800375,0.183681,0.712636
SVM,75%,0.75,54889,41166,96055,0.716461,0.768078,0.611635,0.680987,0.78284,0.819126,0.192249,0.683802
XGBoost,75%,0.75,54889,41166,96055,0.732347,0.759707,0.671429,0.712845,0.799471,0.792009,0.182073,0.722266
Logistic Regression,100%,1.0,54889,54889,109778,0.71034,0.76723,0.59514,0.670316,0.78142,0.823165,0.194186,0.673577
Random Forest,100%,1.0,54889,54889,109778,0.727465,0.762118,0.653019,0.703363,0.794618,0.800375,0.184863,0.710602
SVM,100%,1.0,54889,54889,109778,0.714057,0.768654,0.603829,0.676344,0.784003,0.822011,0.192655,0.679636
XGBoost,100%,1.0,54889,54889,109778,0.731108,0.758851,0.669219,0.711222,0.797538,0.791721,0.183119,0.720316
Logistic Regression,150%,1.5,54889,82333,137222,0.704802,0.768266,0.577614,0.659437,0.777391,0.829367,0.197157,0.662094
Random Forest,150%,1.5,54889,82333,137222,0.725352,0.762467,0.646244,0.699562,0.791129,0.802827,0.186861,0.705705
SVM,150%,1.5,54889,82333,137222,0.696714,0.769373,0.552725,0.643298,0.774687,0.837733,0.201739,0.646485
XGBoost,150%,1.5,54889,82333,137222,0.7271,0.755496,0.663034,0.706251,0.794486,0.789846,0.184747,0.715435
Logistic Regression,200%,2.0,54889,109778,164667,0.698171,0.765544,0.56215,0.648268,0.774641,0.831386,0.199356,0.651733
Random Forest,200%,2.0,54889,109778,164667,0.724404,0.762937,0.64271,0.697682,0.788512,0.804414,0.188343,0.702942
SVM,200%,2.0,54889,109778,164667,0.694455,0.761742,0.556554,0.643179,0.77071,0.829511,0.201783,0.646788
XGBoost,200%,2.0,54889,109778,164667,0.728121,0.756498,0.664359,0.707441,0.792152,0.790567,0.186021,0.715622
