feature,mean_abs_shap_real,mean_abs_shap_aug,rank_real,rank_aug,weight_real,weight_aug,sign_match
cholesterol,0.2781997933317468,0.4472097076760835,3,1,0.3350839386657411,0.5758753177274281,1
ap_hi,0.7651083000291166,0.32639554663361386,1,2,0.9418639929969373,0.43438885022717943,1
ap_lo,0.06541882901516076,0.28555156751738503,6,3,0.09530402499772317,0.3599355913155029,1
age,0.286658402592096,0.2619549347501085,2,4,0.3397689991885182,0.3043842489339132,1
gluc,0.06339136382377837,0.19024169539804914,7,5,-0.0800486259188085,0.292648441037383,0
weight,0.12746982775844964,0.1387528383776473,4,6,0.1685887239755451,0.18940329438979628,1
gender,0.00862242273257449,0.03545199902297454,11,7,-0.00934341612205459,0.039872045185746094,0
active,0.07265379730731876,0.0262604962283514,5,8,-0.09197409128717593,0.03899107092851279,0
smoke,0.02413261277909966,0.02264324937717702,9,9,-0.04230180844049155,0.046887450554813005,0
height,0.025405068240261793,0.00855348024609846,8,10,-0.032607077479096115,-0.011568665363741567,1
alco,0.01933843809068963,0.004449442040714181,10,11,-0.04791170855228654,-0.014682733477271073,1
