model,augmentation_ratio,real_train_size,synthetic_train_size,total_train_size,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0,54889,0,54889,0.730015,0.758939,0.665832,0.709343,0.795913
Logistic Regression,25,54889,13722,68611,0.727829,0.744439,0.685125,0.713552,0.79526
Logistic Regression,50,54889,27444,82333,0.729359,0.736907,0.704566,0.720373,0.793811
Logistic Regression,75,54889,41166,96055,0.726007,0.72782,0.712813,0.720238,0.792735
Logistic Regression,100,54889,54889,109778,0.724842,0.72214,0.721502,0.721821,0.791773
Logistic Regression,150,54889,82333,137222,0.722728,0.71447,0.732253,0.723253,0.790587
Logistic Regression,200,54889,109778,164667,0.720979,0.709376,0.738733,0.723757,0.789407
Random Forest,0,54889,0,54889,0.715951,0.71929,0.698527,0.708757,0.77576
Random Forest,25,54889,13722,68611,0.711215,0.708021,0.708542,0.708281,0.773031
Random Forest,50,54889,27444,82333,0.71034,0.704193,0.714875,0.709494,0.772735
Random Forest,75,54889,41166,96055,0.711069,0.702509,0.721649,0.711951,0.77282
Random Forest,100,54889,54889,109778,0.708591,0.697803,0.725037,0.711159,0.769972
Random Forest,150,54889,82333,137222,0.701669,0.688373,0.725479,0.706439,0.767063
Random Forest,200,54889,109778,164667,0.698317,0.682306,0.730339,0.705506,0.76322
SVM,0,54889,0,54889,0.528164,0.52804,0.436819,0.478117,0.534205
SVM,25,54889,13722,68611,0.51993,0.530736,0.256848,0.346169,0.504135
SVM,50,54889,27444,82333,0.605917,0.779984,0.283505,0.415857,0.652132
SVM,75,54889,41166,96055,0.457262,0.440657,0.359794,0.396141,0.43278
SVM,100,54889,54889,109778,0.431684,0.436228,0.508247,0.469492,0.400509
SVM,150,54889,82333,137222,0.474167,0.456191,0.326657,0.380707,0.460658
SVM,200,54889,109778,164667,0.469577,0.476814,0.740501,0.580098,0.442806
XGBoost,0,54889,0,54889,0.737958,0.762061,0.683947,0.720894,0.805344
XGBoost,25,54889,13722,68611,0.736064,0.754172,0.692194,0.721855,0.803845
XGBoost,50,54889,27444,82333,0.735553,0.748702,0.700736,0.723925,0.802228
XGBoost,75,54889,41166,96055,0.733003,0.740758,0.708247,0.724138,0.80013
XGBoost,100,54889,54889,109778,0.729942,0.733001,0.714433,0.723598,0.798292
XGBoost,150,54889,82333,137222,0.72659,0.724704,0.721502,0.7231,0.796466
XGBoost,200,54889,109778,164667,0.72353,0.717669,0.727393,0.722499,0.79444
