feature,mean_abs_shap_real,mean_abs_shap_aug,shap_diff,coef_real,coef_aug,coef_diff,odds_ratio_real,odds_ratio_aug,rank_real,rank_aug,rank_shift
ap_hi,0.7333104513251805,0.6394550232009107,-0.09385542812426972,0.9418639929969373,0.8232357051090534,-0.11862828788788393,2.5647576558190357,2.2778584041123353,1,1,0
cholesterol,0.2635977913415688,0.3122279634604493,0.04863017211888049,0.3350839386657411,0.38514136246667086,0.05005742380092976,1.39805773139806,1.4698220844312764,3,2,1
age,0.286062649539225,0.2686109612734262,-0.017451688265798793,0.3397689991885182,0.32720410231440866,-0.012564896874109555,1.4046230840121656,1.3870845554589033,2,3,-1
ap_lo,0.06667439537265511,0.24627831871290878,0.17960392334025366,0.09530402499772317,0.3377949663903437,0.2424909413926205,1.099993229733573,1.4018530469467867,6,4,2
weight,0.12903386838083009,0.1746974976531737,0.0456636292723436,0.1685887239755451,0.20710039775253586,0.038511673776990746,1.183633238832786,1.2301060654657583,4,5,-1
active,0.07282997820752175,0.11327350089976257,0.040443522692240816,-0.09197409128717593,-0.13621466331781806,-0.044240572030642134,0.9121287813216085,0.8726552853023,5,6,-1
gender,0.008908091527772959,0.05615141802321076,0.047243326495437804,-0.00934341612205459,0.058799593164858874,0.06814300928691347,0.9907000979615085,1.060562675431848,11,7,4
height,0.02562703401419696,0.05115060487013259,0.025523570855935634,-0.032607077479096115,0.06535181844115179,0.0979588959202479,0.9679188019769441,1.067534536660811,9,8,1
smoke,0.02637651827978304,0.030394320998601985,0.004017802718818946,-0.04230180844049155,-0.048888424752863986,-0.006586616312372437,0.9585804292459081,0.9522873754704582,8,9,-1
gluc,0.051550471424325464,0.026335070839711684,-0.02521540058461378,-0.0800486259188085,0.04211518513956538,0.12216381105837387,0.923071460097453,1.0430146116154777,7,10,-3
alco,0.023330207393095808,0.018282713469260296,-0.005047493923835512,-0.04791170855228654,0.04224151827608427,0.09015322682837082,0.9532179443545596,1.0431463872464373,10,11,-1
