Model,Augmentation Ratio,Evaluated Seeds (N),Accuracy (Mean ± SD),Recall (Mean ± SD),F1-Score (Mean ± SD),ROC-AUC (Mean ± SD),95% CI (ROC-AUC)
Logistic Regression,0,5,72.82% ± 0.36%,66.67% ± 0.44%,70.82% ± 0.34%,0.7918 ± 0.0049,"[0.7858, 0.7979]"
Logistic Regression,25,5,72.40% ± 0.90%,66.31% ± 4.09%,70.34% ± 1.92%,0.7869 ± 0.0076,"[0.7774, 0.7964]"
Logistic Regression,50,5,71.87% ± 1.36%,66.02% ± 7.20%,69.74% ± 3.29%,0.7827 ± 0.0098,"[0.7705, 0.7949]"
Logistic Regression,75,5,71.19% ± 1.56%,65.73% ± 9.96%,68.99% ± 4.46%,0.7791 ± 0.0116,"[0.7647, 0.7936]"
Logistic Regression,100,5,70.53% ± 1.93%,65.51% ± 12.50%,68.25% ± 5.62%,0.7760 ± 0.0135,"[0.7592, 0.7927]"
Logistic Regression,150,5,69.12% ± 2.60%,65.09% ± 17.11%,66.65% ± 7.87%,0.7699 ± 0.0169,"[0.7489, 0.7909]"
Logistic Regression,200,5,67.83% ± 3.21%,64.81% ± 20.87%,65.18% ± 9.74%,0.7634 ± 0.0214,"[0.7369, 0.7900]"
Random Forest,0,5,73.55% ± 0.39%,68.08% ± 0.68%,71.81% ± 0.44%,0.8009 ± 0.0048,"[0.7949, 0.8069]"
Random Forest,25,5,73.35% ± 0.57%,68.85% ± 2.73%,71.87% ± 1.20%,0.7984 ± 0.0052,"[0.7920, 0.8048]"
Random Forest,50,5,73.18% ± 0.57%,68.96% ± 4.35%,71.73% ± 1.70%,0.7966 ± 0.0056,"[0.7897, 0.8035]"
Random Forest,75,5,72.77% ± 0.69%,68.92% ± 5.62%,71.38% ± 2.19%,0.7946 ± 0.0060,"[0.7872, 0.8020]"
Random Forest,100,5,72.52% ± 0.78%,68.85% ± 6.62%,71.13% ± 2.59%,0.7929 ± 0.0062,"[0.7852, 0.8005]"
Random Forest,150,5,71.87% ± 0.89%,68.72% ± 8.86%,70.52% ± 3.36%,0.7897 ± 0.0067,"[0.7814, 0.7981]"
Random Forest,200,5,71.38% ± 0.98%,68.75% ± 10.26%,70.10% ± 3.88%,0.7868 ± 0.0078,"[0.7770, 0.7965]"
SVM,0,5,72.62% ± 0.26%,67.26% ± 1.73%,70.85% ± 0.67%,0.7886 ± 0.0040,"[0.7837, 0.7935]"
SVM,25,5,71.86% ± 1.25%,65.49% ± 5.65%,69.62% ± 2.71%,0.7826 ± 0.0115,"[0.7683, 0.7969]"
SVM,50,5,71.01% ± 1.52%,66.20% ± 10.39%,69.00% ± 4.34%,0.7782 ± 0.0110,"[0.7646, 0.7918]"
SVM,75,5,70.13% ± 2.08%,63.13% ± 12.16%,67.16% ± 5.77%,0.7741 ± 0.0125,"[0.7586, 0.7897]"
SVM,100,5,69.53% ± 2.63%,64.08% ± 12.66%,67.00% ± 6.56%,0.7675 ± 0.0175,"[0.7457, 0.7892]"
SVM,150,5,67.45% ± 3.96%,64.14% ± 19.39%,64.89% ± 9.63%,0.7544 ± 0.0327,"[0.7137, 0.7950]"
SVM,200,5,67.12% ± 2.74%,68.52% ± 19.48%,66.34% ± 7.43%,0.7570 ± 0.0215,"[0.7303, 0.7837]"
XGBoost,0,5,73.52% ± 0.44%,68.82% ± 0.48%,72.01% ± 0.41%,0.8010 ± 0.0049,"[0.7949, 0.8071]"
XGBoost,25,5,73.37% ± 0.47%,69.32% ± 1.93%,72.02% ± 0.88%,0.7992 ± 0.0050,"[0.7930, 0.8054]"
XGBoost,50,5,73.23% ± 0.44%,69.50% ± 2.72%,71.96% ± 1.12%,0.7975 ± 0.0051,"[0.7912, 0.8038]"
XGBoost,75,5,73.04% ± 0.56%,69.81% ± 3.63%,71.89% ± 1.46%,0.7962 ± 0.0050,"[0.7900, 0.8024]"
XGBoost,100,5,72.90% ± 0.47%,69.98% ± 4.17%,71.82% ± 1.54%,0.7948 ± 0.0055,"[0.7880, 0.8015]"
XGBoost,150,5,72.46% ± 0.52%,69.96% ± 5.54%,71.45% ± 2.01%,0.7925 ± 0.0058,"[0.7854, 0.7997]"
XGBoost,200,5,72.18% ± 0.54%,70.08% ± 6.55%,71.25% ± 2.31%,0.7905 ± 0.0062,"[0.7829, 0.7982]"
