Demographic Dimension,Subgroup,Subgroup N,Baseline Recall,Augmented Recall,Recall Delta,Baseline FNR,Augmented FNR,FNR Reduction
Overall,All Patients,13723,66.58%,73.87%,+7.29%,33.42%,26.13%,+7.29%
Sex,Female,9016,66.33%,71.39%,+5.06%,33.67%,28.61%,+5.06%
Sex,Male,4707,67.07%,78.60%,+11.53%,32.93%,21.40%,+11.53%
Age Group,< 50 yrs,4208,52.65%,62.33%,+9.68%,47.35%,37.67%,+9.68%
Age Group,50–59 yrs,6957,66.36%,73.19%,+6.83%,33.64%,26.81%,+6.83%
Age Group,>= 60 yrs,2558,79.10%,85.25%,+6.15%,20.90%,14.75%,+6.15%
Intersectional,Female (< 50 yrs),2621,53.30%,60.45%,+7.15%,46.70%,39.55%,+7.15%
Intersectional,Female (50–59 yrs),4711,65.21%,69.97%,+4.76%,34.79%,30.03%,+4.76%
Intersectional,Female (>= 60 yrs),1684,78.47%,82.54%,+4.07%,21.53%,17.46%,+4.07%
Intersectional,Male (< 50 yrs),1587,51.71%,65.09%,+13.38%,48.29%,34.91%,+13.38%
Intersectional,Male (50–59 yrs),2246,68.70%,79.76%,+11.06%,31.30%,20.24%,+11.06%
Intersectional,Male (>= 60 yrs),874,80.43%,90.93%,+10.50%,19.57%,9.07%,+10.50%
Overall,All Patients,13723,68.39%,73.87%,+5.48%,31.61%,26.13%,+5.48%
Sex,Female,9016,69.14%,71.39%,+2.25%,30.86%,28.61%,+2.25%
Sex,Male,4707,66.98%,78.60%,+11.62%,33.02%,21.40%,+11.62%
Age Group,< 50 yrs,4208,60.54%,62.33%,+1.79%,39.46%,37.67%,+1.79%
Age Group,50–59 yrs,6957,64.04%,73.19%,+9.15%,35.96%,26.81%,+9.15%
Age Group,>= 60 yrs,2558,84.04%,85.25%,+1.21%,15.96%,14.75%,+1.21%
Intersectional,Female (< 50 yrs),2621,61.79%,60.45%,-1.34%,38.21%,39.55%,-1.34%
Intersectional,Female (50–59 yrs),4711,63.77%,69.97%,+6.20%,36.23%,30.03%,+6.20%
Intersectional,Female (>= 60 yrs),1684,85.51%,82.54%,-2.97%,14.49%,17.46%,-2.97%
Intersectional,Male (< 50 yrs),1587,58.73%,65.09%,+6.36%,41.27%,34.91%,+6.36%
Intersectional,Male (50–59 yrs),2246,64.58%,79.76%,+15.18%,35.42%,20.24%,+15.18%
Intersectional,Male (>= 60 yrs),874,80.96%,90.93%,+9.97%,19.04%,9.07%,+9.97%
