Biomarker,Real Rank,Augmented Rank,Real Mean |SHAP|,Augmented Mean |SHAP|,Real Weight (beta),Augmented Weight (beta),Directional Agreement
cholesterol,3,1,0.2493,0.4203,+0.3351,+0.5984,Identical (+)
ap_hi,1,2,0.7684,0.4195,+0.9419,+0.4867,Identical (+)
ap_lo,5,3,0.0745,0.3072,+0.0953,+0.3626,Identical (+)
age,2,4,0.2848,0.2564,+0.3398,+0.2821,Identical (+)
weight,4,5,0.1279,0.1961,+0.1686,+0.2542,Identical (+)
gender,11,6,0.0085,0.1137,-0.0093,+0.1266,Shifted
gluc,7,7,0.0493,0.0987,-0.0800,+0.1696,Shifted
height,8,8,0.0248,0.0387,-0.0326,-0.0585,Identical (+)
alco,9,9,0.0238,0.0318,-0.0479,-0.0873,Identical (+)
smoke,10,10,0.0236,0.0240,-0.0423,-0.0516,Identical (+)
active,6,11,0.0727,0.0235,-0.0920,+0.0327,Shifted
