seed,model,augmentation_ratio,real_train_size,synthetic_train_size,total_train_size,test_size,accuracy,precision,recall,f1_score,roc_auc,training_time_seconds
42,Logistic Regression,0,54889,0,54889,13723,0.730015,0.758939,0.665832,0.709343,0.795913,0.163
42,Random Forest,0,54889,0,54889,13723,0.736938,0.766153,0.67408,0.717173,0.804692,1.89
42,SVM,0,54889,0,54889,13723,0.728777,0.742798,0.691163,0.716051,0.790736,0.7
42,XGBoost,0,54889,0,54889,13723,0.737958,0.762061,0.683947,0.720894,0.805344,1.26
42,Logistic Regression,25,54889,13722,68611,13723,0.728412,0.743908,0.687923,0.714821,0.795339,0.079
42,Random Forest,25,54889,13722,68611,13723,0.737011,0.755502,0.692636,0.722705,0.803257,1.303
42,SVM,25,54889,13722,68611,13723,0.729141,0.751267,0.676583,0.711972,0.793814,0.339
42,XGBoost,25,54889,13722,68611,13723,0.737885,0.754422,0.697202,0.724684,0.804157,0.791
42,Logistic Regression,50,54889,27444,82333,13723,0.729942,0.73767,0.70486,0.720892,0.794213,0.127
42,Random Forest,50,54889,27444,82333,13723,0.736209,0.750395,0.699558,0.724085,0.801556,1.913
42,SVM,50,54889,27444,82333,13723,0.724259,0.723395,0.716789,0.720077,0.791281,0.479
42,XGBoost,50,54889,27444,82333,13723,0.735335,0.746642,0.703976,0.724682,0.802366,0.836
42,Logistic Regression,75,54889,41167,96056,13723,0.725862,0.727259,0.713549,0.720339,0.793029,0.096
42,Random Forest,75,54889,41167,96056,13723,0.733076,0.741916,0.706186,0.72361,0.800534,1.585
42,SVM,75,54889,41167,96056,13723,0.718502,0.714747,0.717378,0.71606,0.787445,0.453
42,XGBoost,75,54889,41167,96056,13723,0.733222,0.738746,0.71296,0.725624,0.800224,1.015
42,Logistic Regression,100,54889,54889,109778,13723,0.725424,0.72273,0.722091,0.72241,0.792122,0.127
42,Random Forest,100,54889,54889,109778,13723,0.73038,0.734517,0.712666,0.723427,0.798324,2.828
42,SVM,100,54889,54889,109778,13723,0.724696,0.726126,0.712224,0.719108,0.790565,0.516
42,XGBoost,100,54889,54889,109778,13723,0.731546,0.733956,0.717526,0.725648,0.798832,1.333
42,Logistic Regression,150,54889,82334,137223,13723,0.72251,0.714224,0.732106,0.723055,0.790482,0.189
42,Random Forest,150,54889,82334,137223,13723,0.724842,0.721033,0.724006,0.722516,0.795756,3.741
42,SVM,150,54889,82334,137223,13723,0.723821,0.72748,0.70648,0.716826,0.79033,0.773
42,XGBoost,150,54889,82334,137223,13723,0.725789,0.722869,0.722975,0.722922,0.796175,1.404
42,Logistic Regression,200,54889,109778,164667,13723,0.720979,0.709376,0.738733,0.723757,0.789407,0.236
42,Random Forest,200,54889,109778,164667,13723,0.719959,0.712045,0.728719,0.720285,0.794454,4.509
42,SVM,200,54889,109778,164667,13723,0.719595,0.711594,0.728571,0.719983,0.786482,0.817
42,XGBoost,200,54889,109778,164667,13723,0.72353,0.717669,0.727393,0.722499,0.79444,1.192
52,Logistic Regression,0,54889,0,54889,13723,0.727465,0.756907,0.661708,0.706113,0.786558,0.039
52,Random Forest,0,54889,0,54889,13723,0.734315,0.757789,0.68056,0.717101,0.794868,0.643
52,SVM,0,54889,0,54889,13723,0.727246,0.743099,0.685862,0.713334,0.784402,0.145
52,XGBoost,0,54889,0,54889,13723,0.731983,0.752515,0.682916,0.716028,0.794944,1.013
52,Logistic Regression,25,54889,13722,68611,13723,0.722072,0.770644,0.624006,0.689616,0.782498,0.066
52,Random Forest,25,54889,13722,68611,13723,0.729287,0.765774,0.65243,0.704573,0.79248,1.077
52,SVM,25,54889,13722,68611,13723,0.70349,0.771937,0.568778,0.654965,0.772071,0.23
52,XGBoost,25,54889,13722,68611,13723,0.729651,0.756496,0.668925,0.71002,0.793759,0.777
52,Logistic Regression,50,54889,27444,82333,13723,0.713401,0.775719,0.5919,0.671456,0.777631,0.072
52,Random Forest,50,54889,27444,82333,13723,0.725497,0.772883,0.630486,0.69446,0.789893,1.237
52,SVM,50,54889,27444,82333,13723,0.697005,0.766829,0.556996,0.645282,0.767466,0.549
52,XGBoost,50,54889,27444,82333,13723,0.727902,0.757499,0.662003,0.706539,0.791515,0.835
52,Logistic Regression,75,54889,41167,96056,13723,0.701013,0.773681,0.559352,0.649286,0.772692,0.093
52,Random Forest,75,54889,41167,96056,13723,0.719376,0.771376,0.615169,0.684474,0.788168,2.283
52,SVM,75,54889,41167,96056,13723,0.680536,0.785342,0.487629,0.601672,0.771637,0.408
52,XGBoost,75,54889,41167,96056,13723,0.725497,0.757014,0.65567,0.702707,0.79025,0.912
52,Logistic Regression,100,54889,54889,109778,13723,0.688989,0.771183,0.52813,0.626923,0.767656,0.096
52,Random Forest,100,54889,54889,109778,13723,0.713984,0.771667,0.599264,0.674625,0.786058,2.373
52,SVM,100,54889,54889,109778,13723,0.682285,0.735283,0.559205,0.635269,0.752411,0.493
52,XGBoost,100,54889,54889,109778,13723,0.724987,0.759463,0.650074,0.700524,0.788406,0.861
52,Logistic Regression,150,54889,82334,137223,13723,0.668075,0.760793,0.480118,0.588713,0.759396,0.106
52,Random Forest,150,54889,82334,137223,13723,0.708154,0.777446,0.574669,0.660852,0.783236,3.27
52,SVM,150,54889,82334,137223,13723,0.628725,0.696864,0.441826,0.540784,0.725396,0.673
52,XGBoost,150,54889,82334,137223,13723,0.717409,0.757426,0.630928,0.688414,0.786214,1.013
52,Logistic Regression,200,54889,109778,164667,13723,0.648692,0.751855,0.432842,0.549397,0.749707,0.156
52,Random Forest,200,54889,109778,164667,13723,0.700794,0.774325,0.557879,0.648519,0.779317,4.585
52,SVM,200,54889,109778,164667,13723,0.660934,0.733144,0.494845,0.590873,0.744891,0.694
52,XGBoost,200,54889,109778,164667,13723,0.716826,0.759378,0.626068,0.686309,0.78332,1.013
62,Logistic Regression,0,54889,0,54889,13723,0.72353,0.748755,0.664065,0.703871,0.786482,0.099
62,Random Forest,0,54889,0,54889,13723,0.729724,0.753497,0.674374,0.711743,0.796478,1.625
62,SVM,0,54889,0,54889,13723,0.722291,0.744461,0.668041,0.704184,0.784542,0.417
62,XGBoost,0,54889,0,54889,13723,0.729359,0.745217,0.688365,0.715664,0.796536,0.878
62,Logistic Regression,25,54889,13722,68611,13723,0.709174,0.752299,0.61458,0.676502,0.776037,0.087
62,Random Forest,25,54889,13722,68611,13723,0.725716,0.749423,0.669514,0.707218,0.793187,1.616
62,SVM,25,54889,13722,68611,13723,0.707207,0.736277,0.636082,0.682522,0.76845,0.479
62,XGBoost,25,54889,13722,68611,13723,0.728121,0.748902,0.677761,0.711558,0.793921,0.871
62,Logistic Regression,50,54889,27444,82333,13723,0.698171,0.757688,0.573343,0.65275,0.768651,0.078
62,Random Forest,50,54889,27444,82333,13723,0.725935,0.755009,0.660383,0.704533,0.791282,1.809
62,SVM,50,54889,27444,82333,13723,0.693434,0.76341,0.551252,0.640212,0.766309,0.443
62,XGBoost,50,54889,27444,82333,13723,0.7271,0.751196,0.670545,0.708583,0.792518,1.014
62,Logistic Regression,75,54889,41167,96056,13723,0.690592,0.764779,0.54109,0.633776,0.762801,0.108
62,Random Forest,75,54889,41167,96056,13723,0.721489,0.755334,0.646539,0.696715,0.788144,2.478
62,SVM,75,54889,41167,96056,13723,0.677622,0.748634,0.524595,0.616903,0.754274,0.507
62,XGBoost,75,54889,41167,96056,13723,0.723821,0.750083,0.662592,0.703628,0.791258,0.994
62,Logistic Regression,100,54889,54889,109778,13723,0.682504,0.768129,0.513255,0.615344,0.75754,0.106
62,Random Forest,100,54889,54889,109778,13723,0.720979,0.758693,0.63947,0.693998,0.786249,2.609
62,SVM,100,54889,54889,109778,13723,0.656781,0.748923,0.460825,0.570569,0.748278,0.62
62,XGBoost,100,54889,54889,109778,13723,0.723311,0.75046,0.660383,0.702546,0.789179,0.878
62,Logistic Regression,150,54889,82334,137223,13723,0.66363,0.771479,0.454934,0.572355,0.746934,0.133
62,Random Forest,150,54889,82334,137223,13723,0.712162,0.759883,0.611487,0.677656,0.781645,3.846
62,SVM,150,54889,82334,137223,13723,0.645777,0.746109,0.430633,0.546083,0.714943,0.638
62,XGBoost,150,54889,82334,137223,13723,0.721562,0.753457,0.649926,0.697873,0.786277,1.172
62,Logistic Regression,200,54889,109778,164667,13723,0.650222,0.771413,0.416495,0.540933,0.734731,0.19
62,Random Forest,200,54889,109778,164667,13723,0.70881,0.761121,0.599705,0.67084,0.777361,5.062
62,SVM,200,54889,109778,164667,13723,0.656052,0.741597,0.467894,0.573776,0.729104,1.018
62,XGBoost,200,54889,109778,164667,13723,0.716316,0.752748,0.635346,0.689082,0.784226,1.299
72,Logistic Regression,0,54889,0,54889,13723,0.726882,0.749426,0.673049,0.709187,0.795623,0.066
72,Random Forest,0,54889,0,54889,13723,0.736209,0.755893,0.689543,0.721195,0.804187,0.953
72,SVM,0,54889,0,54889,13723,0.725206,0.761748,0.646981,0.699689,0.793358,0.328
72,XGBoost,0,54889,0,54889,13723,0.737011,0.754765,0.693962,0.723088,0.804763,1.19
72,Logistic Regression,25,54889,13722,68611,13723,0.728121,0.734838,0.70486,0.719537,0.791042,0.077
72,Random Forest,25,54889,13722,68611,13723,0.736647,0.742962,0.715169,0.728801,0.80179,1.29
72,SVM,25,54889,13722,68611,13723,0.722364,0.71944,0.71944,0.71944,0.787557,0.281
72,XGBoost,25,54889,13722,68611,13723,0.73446,0.741036,0.712224,0.726344,0.801988,0.943
72,Logistic Regression,50,54889,27444,82333,13723,0.720688,0.712581,0.729897,0.721135,0.786939,0.092
72,Random Forest,50,54889,27444,82333,13723,0.734096,0.730245,0.733579,0.731908,0.800225,1.601
72,SVM,50,54889,27444,82333,13723,0.709247,0.677575,0.786745,0.728091,0.784866,0.31
72,XGBoost,50,54889,27444,82333,13723,0.73446,0.736399,0.721649,0.72895,0.800778,1.158
72,Logistic Regression,75,54889,41167,96056,13723,0.716972,0.696458,0.758616,0.726209,0.783869,0.106
72,Random Forest,75,54889,41167,96056,13723,0.730234,0.719818,0.744624,0.732011,0.798137,2.595
72,SVM,75,54889,41167,96056,13723,0.70881,0.682614,0.769072,0.723269,0.780737,0.43
72,XGBoost,75,54889,41167,96056,13723,0.731983,0.727752,0.732253,0.729996,0.799494,0.889
72,Logistic Regression,100,54889,54889,109778,13723,0.706988,0.676257,0.782327,0.725435,0.781281,0.102
72,Random Forest,100,54889,54889,109778,13723,0.727319,0.712612,0.752283,0.73191,0.796915,3.665
72,SVM,100,54889,54889,109778,13723,0.704802,0.67853,0.766568,0.719867,0.777309,0.717
72,XGBoost,100,54889,54889,109778,13723,0.730161,0.721672,0.740059,0.73075,0.798936,1.14
72,Logistic Regression,150,54889,82334,137223,13723,0.689937,0.645706,0.827246,0.725289,0.775392,0.139
72,Random Forest,150,54889,82334,137223,13723,0.71821,0.693192,0.772312,0.730617,0.794552,4.084
72,SVM,150,54889,82334,137223,13723,0.669752,0.621949,0.848012,0.717597,0.764648,0.776
72,XGBoost,150,54889,82334,137223,13723,0.727173,0.712413,0.752283,0.731805,0.796794,1.281
72,Logistic Regression,200,54889,109778,164667,13723,0.669752,0.619547,0.861708,0.720833,0.769967,0.16
72,Random Forest,200,54889,109778,164667,13723,0.713547,0.681801,0.789543,0.731727,0.791722,5.443
72,SVM,200,54889,109778,164667,13723,0.665161,0.615441,0.861708,0.718046,0.763541,1.086
72,XGBoost,200,54889,109778,164667,13723,0.722801,0.701648,0.765096,0.731999,0.795495,1.136
82,Logistic Regression,0,54889,0,54889,13723,0.733149,0.762592,0.668925,0.712694,0.794636,0.081
82,Random Forest,0,54889,0,54889,13723,0.740363,0.765335,0.68542,0.723176,0.804415,1.69
82,SVM,0,54889,0,54889,13723,0.727683,0.751856,0.671134,0.709206,0.789972,0.329
82,XGBoost,0,54889,0,54889,13723,0.739853,0.760771,0.691753,0.724622,0.803456,1.091
82,Logistic Regression,25,54889,13722,68611,13723,0.732129,0.752023,0.684242,0.716533,0.789748,0.09
82,Random Forest,25,54889,13722,68611,13723,0.739051,0.747952,0.712813,0.72996,0.801374,1.831
82,SVM,25,54889,13722,68611,13723,0.730598,0.755493,0.67349,0.712139,0.791037,0.395
82,XGBoost,25,54889,13722,68611,13723,0.738323,0.748254,0.710015,0.728633,0.802197,0.852
82,Logistic Regression,50,54889,27444,82333,13723,0.731181,0.741473,0.701178,0.720763,0.786143,0.095
82,Random Forest,50,54889,27444,82333,13723,0.737375,0.739765,0.723859,0.731725,0.800165,1.956
82,SVM,50,54889,27444,82333,13723,0.726663,0.735764,0.69838,0.716585,0.781077,0.521
82,XGBoost,50,54889,27444,82333,13723,0.736647,0.742147,0.716789,0.729248,0.800416,0.943
82,Logistic Regression,75,54889,41167,96056,13723,0.725279,0.726319,0.713697,0.719952,0.783312,0.12
82,Random Forest,75,54889,41167,96056,13723,0.73446,0.730781,0.733579,0.732177,0.797969,2.8
82,SVM,75,54889,41167,96056,13723,0.720834,0.747615,0.657879,0.699882,0.776612,0.564
