model,augmentation_ratio,recall_mean,recall_std,recall_min,recall_max,f1_score_mean,f1_score_std,f1_score_min,f1_score_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max
Logistic Regression,0,0.6667158,0.004412365884647421,0.661708,0.673049,0.7082416,0.0033750485626136057,0.703871,0.712694,0.7918424,0.0048817438789842335,0.786482,0.795913,0.7282082,0.0036011365844688635,0.72353,0.733149,0.7553238,0.006048473005643673,0.748755,0.762592
Logistic Regression,25,0.6631222,0.04089496260176798,0.61458,0.70486,0.7034018,0.01921469972963406,0.676502,0.719537,0.7869328,0.007646256973186321,0.776037,0.795339,0.7239816,0.00902849368942574,0.709174,0.732129,0.7507424,0.013226824875985933,0.734838,0.770644
Logistic Regression,50,0.6602356,0.07200764890829305,0.573343,0.729897,0.6973992,0.0328928855940004,0.65275,0.721135,0.7827154000000001,0.009816319513952291,0.768651,0.794213,0.7186766,0.013561218356032776,0.698171,0.731181,0.7450262000000001,0.02356798179098075,0.712581,0.775719
Logistic Regression,75,0.6572608,0.09963441998978065,0.54109,0.758616,0.6899124000000001,0.04457409143549647,0.633776,0.726209,0.7791406000000001,0.011631992189646615,0.762801,0.793029,0.7119436,0.015590128264385758,0.690592,0.725862,0.7376992,0.03149344695647015,0.696458,0.773681
Logistic Regression,100,0.655081,0.1249664302262812,0.513255,0.782327,0.682496,0.05617920196567412,0.615344,0.725435,0.7759704000000001,0.013470258063600728,0.75754,0.792122,0.705283,0.019298404804542774,0.682504,0.725424,0.730715,0.03970284350647944,0.676257,0.771183
Logistic Regression,150,0.6508689999999999,0.17113695225461975,0.454934,0.827246,0.6664608,0.07865869774030079,0.572355,0.725289,0.7699076,0.016932336129430018,0.746934,0.790482,0.6911754,0.025971399621506727,0.66363,0.72251,0.7162978,0.05182150578379601,0.645706,0.771479
Logistic Regression,200,0.6481294,0.20868791530728367,0.416495,0.861708,0.651806,0.09740375628793789,0.540933,0.72411,0.7634494000000001,0.021386843918633717,0.734731,0.789407,0.6782918,0.03206431409214926,0.648692,0.720979,0.703987,0.06186744068975217,0.619547,0.771413
Random Forest,0,0.6807954,0.006787742982759441,0.67408,0.689543,0.7180776,0.004404857296212919,0.711743,0.723176,0.8009280000000001,0.004834098830185399,0.794868,0.804692,0.7355098,0.003904651546553171,0.729724,0.740363,0.7597334,0.005701123468229722,0.753497,0.766153
Random Forest,25,0.6885124,0.027299159113423295,0.65243,0.715169,0.7186514,0.012002650428134618,0.704573,0.72996,0.7984176,0.005151394112276824,0.79248,0.803257,0.7335423999999999,0.005730954702316198,0.725716,0.739051,0.7523226,0.008748991416157627,0.742962,0.765774
Random Forest,50,0.689573,0.04346000381385164,0.630486,0.733579,0.7173421999999999,0.01697176698814831,0.69446,0.731908,0.7966242,0.0055604368263653505,0.789893,0.801556,0.7318224,0.005699014107720758,0.725497,0.737375,0.7496594,0.016150178042362268,0.730245,0.772883
Random Forest,75,0.6892194,0.05619249863905326,0.615169,0.744624,0.7137974,0.021894646704160314,0.684474,0.732177,0.7945903999999999,0.005960767257660732,0.788144,0.800534,0.727727,0.006871717107099176,0.719376,0.73446,0.743845,0.02025857193881148,0.719818,0.771376
Random Forest,100,0.6884538,0.06619642732957726,0.599264,0.752283,0.7113438000000001,0.02586856271036333,0.674625,0.732759,0.7928578,0.0061511891289408585,0.786058,0.798324,0.7252204,0.007791559170024977,0.713984,0.73344,0.7409022000000001,0.023962218338459376,0.712612,0.771667
