seed,model,recall,f1_score,roc_auc,accuracy
42,Logistic Regression,0.7092991428571428,0.719231,0.7929292857142858,0.7261634285714286
42,Random Forest,0.7054072857142858,0.7219715714285714,0.7997961428571428,0.7312021428571428
42,SVM,0.7070268571428571,0.7171538571428571,0.7900932857142857,0.724113
42,XGBoost,0.7094255714285714,0.7238504285714286,0.8002197142857143,0.7321807142857143
52,Logistic Regression,0.554008,0.6402148571428572,0.7708768571428571,0.6956724285714285
52,Random Forest,0.6157795714285713,0.6835148571428571,0.7877171428571429,0.7187724285714285
52,SVM,0.5421630000000001,0.6260255714285714,0.7597534285714286,0.6828887142857143
52,XGBoost,0.6537977142857143,0.7015058571428572,0.7897725714285714,0.7248935714285715
62,Logistic Regression,0.5396802857142857,0.627933,0.7618822857142857,0.6882604285714286
62,Random Forest,0.6430674285714285,0.6946718571428571,0.7877637142857142,0.7206878571428571
62,SVM,0.5341888571428571,0.6191784285714286,0.7522714285714286,0.6798805714285715
62,XGBoost,0.6635597142857143,0.7041334285714286,0.7905592857142858,0.7242271428571428
72,Logistic Regression,0.762529,0.7210892857142858,0.7834447142857143,0.7084771428571429
72,Random Forest,0.7424361428571429,0.7297384285714286,0.7982182857142857,0.7280374285714286
72,SVM,0.7712180000000001,0.7179998571428572,0.7788594285714286,0.7007631428571429
72,XGBoost,0.7310751428571428,0.7289902857142857,0.7997497142857143,0.7311498571428572
82,Logistic Regression,0.7212077142857142,0.7199017142857143,0.7836944285714286,0.722541
82,Random Forest,0.729918,0.7310598571428572,0.7978838571428571,0.7343977142857143
82,SVM,0.7226802857142857,0.7114561428571429,0.7778435714285715,0.7103922857142857
82,XGBoost,0.724048,0.7301784285714286,0.7995094285714286,0.7353037142857143
