Feature,Feature Value,SHAP Value,Absolute SHAP
thal,3.0,-0.10498696560143464,0.10498696560143464
ca,0.0,-0.09558478494138663,0.09558478494138663
thalach,182.0,-0.07689291127758809,0.07689291127758809
age,59.0,0.06191953571534171,0.06191953571534171
cp,4.0,0.06016695583719545,0.06016695583719545
slope,1.0,-0.032702744276095964,0.032702744276095964
oldpeak,0.0,-0.03149563290966493,0.03149563290966493
trestbps,138.0,-0.02655598078193337,0.02655598078193337
exang,0.0,-0.02332959285945897,0.02332959285945897
restecg,2.0,0.02085446526892702,0.02085446526892702
sex,1.0,0.017395881173788156,0.017395881173788156
chol,271.0,0.009693184990839621,0.009693184990839621
fbs,0.0,-5.165827241383846e-05,5.165827241383846e-05
