model,metric,augmentation_ratio,baseline_mean,augmented_mean,mean_difference,mean_difference_percent,std_difference,t_statistic,p_value_raw,wilcoxon_p_value,cohens_d,ci95_lower,ci95_upper,test_used,h0,h1,p_value_bonferroni,p_value_fdr,is_significant_raw,is_significant_bonferroni,is_significant_fdr
Logistic Regression,recall,25%,0.666716,0.663122,-0.003594,-0.3594,0.037216,-0.2159,0.839618,0.8125,-0.0966,-0.049804,0.042616,Two-tailed Paired t-test (N=5 seeds),mu_diff(recall) = 0 between 0% and 25%,mu_diff(recall) != 0 between 0% and 25%,1.0,0.84907,False,False,False
Logistic Regression,recall,50%,0.666716,0.660236,-0.00648,-0.648,0.068354,-0.212,0.84248,0.8125,-0.0948,-0.091352,0.078392,Two-tailed Paired t-test (N=5 seeds),mu_diff(recall) = 0 between 0% and 50%,mu_diff(recall) != 0 between 0% and 50%,1.0,0.84907,False,False,False
Logistic Regression,recall,75%,0.666716,0.657261,-0.009455,-0.9455,0.095859,-0.2206,0.83624,0.8125,-0.0986,-0.12848,0.10957,Two-tailed Paired t-test (N=5 seeds),mu_diff(recall) = 0 between 0% and 75%,mu_diff(recall) != 0 between 0% and 75%,1.0,0.84907,False,False,False
Logistic Regression,recall,100%,0.666716,0.655081,-0.011635,-1.1635,0.121139,-0.2148,0.840456,0.8125,-0.096,-0.162048,0.138779,Two-tailed Paired t-test (N=5 seeds),mu_diff(recall) = 0 between 0% and 100%,mu_diff(recall) != 0 between 0% and 100%,1.0,0.84907,False,False,False
Logistic Regression,recall,150%,0.666716,0.650869,-0.015847,-1.5847,0.167263,-0.2118,0.842582,0.8125,-0.0947,-0.223532,0.191838,Two-tailed Paired t-test (N=5 seeds),mu_diff(recall) = 0 between 0% and 150%,mu_diff(recall) != 0 between 0% and 150%,1.0,0.84907,False,False,False
Logistic Regression,recall,200%,0.666716,0.648129,-0.018586,-1.8586,0.204768,-0.203,0.84907,0.8125,-0.0908,-0.27284,0.235667,Two-tailed Paired t-test (N=5 seeds),mu_diff(recall) = 0 between 0% and 200%,mu_diff(recall) != 0 between 0% and 200%,1.0,0.84907,False,False,False
Logistic Regression,f1_score,25%,0.708242,0.703402,-0.00484,-0.484,0.016248,-0.6661,0.541815,0.8125,-0.2979,-0.025014,0.015335,Two-tailed Paired t-test (N=5 seeds),mu_diff(f1_score) = 0 between 0% and 25%,mu_diff(f1_score) != 0 between 0% and 25%,1.0,0.72242,False,False,False
Logistic Regression,f1_score,50%,0.708242,0.697399,-0.010842,-1.0842,0.029866,-0.8118,0.462467,0.8125,-0.363,-0.047926,0.026241,Two-tailed Paired t-test (N=5 seeds),mu_diff(f1_score) = 0 between 0% and 50%,mu_diff(f1_score) != 0 between 0% and 50%,1.0,0.652895,False,False,False
Logistic Regression,f1_score,75%,0.708242,0.689912,-0.018329,-1.8329,0.041612,-0.9849,0.380413,0.8125,-0.4405,-0.069997,0.033339,Two-tailed Paired t-test (N=5 seeds),mu_diff(f1_score) = 0 between 0% and 75%,mu_diff(f1_score) != 0 between 0% and 75%,1.0,0.57062,False,False,False
Logistic Regression,f1_score,100%,0.708242,0.682496,-0.025746,-2.5746,0.053203,-1.0821,0.340098,0.8125,-0.4839,-0.091806,0.040315,Two-tailed Paired t-test (N=5 seeds),mu_diff(f1_score) = 0 between 0% and 100%,mu_diff(f1_score) != 0 between 0% and 100%,1.0,0.544157,False,False,False
